error_no;message;description
101;memory allocation error.;There is not enough physical memory in the computer to analyze the study area.
103;cannot solve KW equations for Link xxx.;The internal solver for Kinematic Wave routing failed to converge for the specified link at some stage of the simulation.
105;cannot open ODE solver.;The system could not open its Ordinary Differential Equation solver.
107;cannot compute a valid time step.;A valid time step for runoff or flow routing calculations (i.e., a number greater than 0) could not be computed at some stage of the simulation.
108;ambiguous outlet ID name for Subcatchment xxx.;The name of the element identified as the outlet of a subcatchment belongs to both a node and a subcatchment in the project's data base.
109;invalid parameter values for Aquifer xxx.;The properties entered for an aquifer object were either invalid numbers or were inconsistent with one another (e.g., the soil field capacity was higher than the porosity).
110;ground elevation is below water table for Subcatchment xxx.;The ground elevation assigned to a subcatchment's groundwater parameters cannot be below the initial water table elevation of the aquifer object used by the subcatchment.
111;invalid length for Conduit xxx.;Conduits cannot have zero or negative lengths.
112;elevation drop exceeds length for Conduit xxx.;The elevation drop across the ends of a conduit cannot be greater than the conduit's length. Check for errors in the length and in both the invert elevations and offsets at the conduit's upstream and downstream nodes.
113;invalid roughness for Conduit xxx.;Conduits cannot have zero or negative roughness values.
114;invalid number of barrels for Conduit xxx.;Conduits must consist of one or more barrels.
115;adverse slope for Conduit xxx.;Under Steady or Kinematic Wave routing, all conduits must have positive slopes. This can usually be corrected by reversing the inlet and outlet nodes of the conduit (i.e., right click on the conduit and select Reverse from the popup menu that appears). Adverse slopes are permitted under Dynamic Wave routing.
117;no cross-section defined for Link xxx.;Cross-section geometry was never defined for the specified link.
119;invalid cross-section for Link xxx.;Either an invalid shape or invalid set of dimensions was specified for a link's cross-section.
121;missing or invalid pump curve assigned to Pump xxx.;Either no pump curve or an invalid type of curve was specified for a pump.
122;startup depth not higher than shutoff depth for Pump xxx.;Automatic startup for a pump always occurs at a wet well water level that is higher than its automatic shutoff level.
131;the following links form cyclic loops in the drainage system.;The Steady and Kinematic Wave flow routing methods cannot be applied to systems where a cyclic loop exists (i.e., a directed path along a set of links that begins and ends at the same node). Most often the cyclic nature of the loop can be eliminated by reversing the direction of one of its links (i.e., switching the inlet and outlet nodes of the link). The names of the links that form the loop will be listed following this message.
133;Node xxx has more than one outlet link.;Under Steady and Kinematic Wave flow routing, a junction node can have only a single outlet link.
134;Node xxx has illegal DUMMY link connections.;Only a single conduit with a DUMMY cross-section or Ideal-type pump can be directed out of a node/ a node with an outgoing Dummy conduit or Ideal pump cannot have all of its incoming links be Dummy conduits and Ideal pumps/ a Dummy conduit cannot have its upstream end connected to a storage node.
135;Divider xxx does not have two outlet links.;Flow divider nodes must have two outlet links connected to them.
136;Divider xxx has invalid diversion link.;The link specified as being the one carrying the diverted flow from a flow divider node was defined with a different inlet node.
137;Weir Divider xxx has invalid parameters.;The parameters of a Weir-type divider node either are non-positive numbers or are inconsistent (i.e., the value of the discharge coefficient times the weir height raised to the 3/2 power must be greater than the minimum flow parameter).
138;Node xxx has initial depth greater than maximum depth.;Self-explanatory.
139;Regulator xxx is the outlet of a non-storage node.;Under Steady or Kinematic Wave flow routing, orifices, weirs, and outlet links can only be used as outflow links from storage nodes.
140;Storage node xxx has negative volume at full depth.;The storage unit's Shape data (surface area versus depth) is producing a negative volume at full depth. This can occur when a storage node's surface area curve slopes downward at its highest depth which is below the node's full depth.
141;Outfall xxx has more than 1 inlet link or an outlet link.;An outfall node is only permitted to have one link attached to it.
