id,system_id,epa_default,isarcdivide,isprofilesurface,code_autofill,choose_hemisphere,double_geom,num_arcs,isexitupperintro,shortcut_key,link_path,descript,active
VIRTUAL_NODE,JUNCTION,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",TRUE,Q,,,true
CIRC_MANHOLE,MANHOLE,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",MAYBE,M,,,true
SEWER_STORAGE,STORAGE,STORAGE,true,true,true,true,"{""activated"":true,""value"":4}","2",TRUE,L,,,true
REGISTER,JUNCTION,JUNCTION,true,true,true,true,"{""activated"":true,""value"":2}","2",FALSE,U,,,true
HIGHPOINT,JUNCTION,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,H,,,true
CHANGE,JUNCTION,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,E,,,true
JUMP,WJUMP,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,J,,,true
RECT_MANHOLE,MANHOLE,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,R,,,true
SANDBOX,MANHOLE,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,X,,,true
WWTP,WWTP,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,W,,,true
VALVE,VALVE,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,V,,,true
OUTFALL,OUTFALL,OUTFALL,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,O,,,true
NETGULLY,NETGULLY,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,Y,,,true
JUNCTION,JUNCTION,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,N,,,true
NETELEMENT,NETELEMENT,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",FALSE,A,,,true
NETINIT,NETINIT,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","1",FALSE,I,,,true
CHAMBER,CHAMBER,STORAGE,true,true,true,true,"{""activated"":false,""value"":1}","2",TRUE,B,,,true
WEIR,CHAMBER,JUNCTION,true,true,true,true,"{""activated"":false,""value"":1}","2",TRUE,F,,,true
OWERFLOW_STORAGE,STORAGE,STORAGE,true,true,true,true,"{""activated"":false,""value"":1}","2",TRUE,G,,,true
PUMP_STATION,CHAMBER,STORAGE,true,true,true,true,"{""activated"":false,""value"":1}","2",TRUE,P,,,true
