hydrometer_id;cat_period_id;value;value_date
2;5;9,706;01/05/17
3;5;11,168;01/05/17
4;5;11,679;01/05/17
5;5;8,849;01/05/17
6;5;7,529;01/05/17
7;5;7,091;01/05/17
8;5;5,746;01/05/17
9;5;11,379;01/05/17
10;5;10,664;01/05/17
11;5;9,438;01/05/17
12;5;10,189;01/05/17
13;5;5,774;01/05/17
14;5;11,98;01/05/17
15;5;10,686;01/05/17
16;5;6,991;01/05/17
17;5;10,695;01/05/17
18;5;3,232;01/05/17
19;5;8,395;01/05/17
20;5;4,951;01/05/17
21;5;7,341;01/05/17
22;5;9,697;01/05/17
23;5;7,799;01/05/17
24;5;5,989;01/05/17
25;5;4,086;01/05/17
26;5;10,637;01/05/17
27;5;7,49;01/05/17
28;5;3,593;01/05/17
29;5;4,849;01/05/17
30;5;8,483;01/05/17
31;5;4,779;01/05/17
32;5;5,099;01/05/17
33;5;4,151;01/05/17
34;5;5,133;01/05/17
35;5;11,287;01/05/17
36;5;4,389;01/05/17
37;5;7,062;01/05/17
38;5;10,9;01/05/17
39;5;10,897;01/05/17
40;5;10,232;01/05/17
41;5;9,103;01/05/17
42;5;9,955;01/05/17
43;5;9,56;01/05/17
44;5;5,453;01/05/17
45;5;6,008;01/05/17
46;5;11,496;01/05/17
47;5;11,533;01/05/17
48;5;4,311;01/05/17
49;5;11,139;01/05/17
50;5;5,496;01/05/17
51;5;7,529;01/05/17
52;5;10,513;01/05/17
53;5;11,864;01/05/17
54;5;8,598;01/05/17
55;5;4,265;01/05/17
56;5;4,44;01/05/17
57;5;9,303;01/05/17
58;5;3,538;01/05/17
59;5;5,222;01/05/17
60;5;10,993;01/05/17
61;5;4,02;01/05/17
62;5;4,147;01/05/17
63;5;11,603;01/05/17
64;5;6,113;01/05/17
65;5;7,702;01/05/17
66;5;8,763;01/05/17
67;5;9,317;01/05/17
68;5;11,472;01/05/17
69;5;9,936;01/05/17
70;5;9,742;01/05/17
71;5;6,179;01/05/17
72;5;4,638;01/05/17
73;5;8,385;01/05/17
74;5;11,153;01/05/17
75;5;6,303;01/05/17
76;5;3,575;01/05/17
77;5;4,706;01/05/17
78;5;9,532;01/05/17
79;5;4,788;01/05/17
80;5;9,538;01/05/17
81;5;7,483;01/05/17
82;5;7,651;01/05/17
83;5;4,663;01/05/17
84;5;3,327;01/05/17
85;5;4,736;01/05/17
86;5;6,874;01/05/17
87;5;6,053;01/05/17
88;5;9,97;01/05/17
89;5;7,586;01/05/17
90;5;3,919;01/05/17
91;5;5,21;01/05/17
92;5;5,616;01/05/17
93;5;8,269;01/05/17
94;5;6,108;01/05/17
95;5;9,612;01/05/17
96;5;6,444;01/05/17
97;5;4,273;01/05/17
98;5;10,059;01/05/17
99;5;4,313;01/05/17
100;5;8,776;01/05/17
101;5;4,193;01/05/17
102;5;5,76;01/05/17
103;5;7,136;01/05/17
104;5;3,422;01/05/17
105;5;8,101;01/05/17
106;5;8,898;01/05/17
107;5;6,242;01/05/17
108;5;4,321;01/05/17
109;5;11,024;01/05/17
110;5;7,856;01/05/17
111;5;6,257;01/05/17
112;5;7,736;01/05/17
113;5;8,087;01/05/17
114;5;5,765;01/05/17
115;5;11,985;01/05/17
116;5;5,468;01/05/17
117;5;9,431;01/05/17
118;5;7,702;01/05/17
119;5;4,787;01/05/17
120;5;11,161;01/05/17
121;5;9,455;01/05/17
122;5;8,822;01/05/17
123;5;11,103;01/05/17
124;5;9,71;01/05/17
125;5;3,047;01/05/17
126;5;9,294;01/05/17
127;5;7,963;01/05/17
128;5;4,071;01/05/17
129;5;8,49;01/05/17
130;5;7,472;01/05/17
131;5;3,077;01/05/17
132;5;6,145;01/05/17
133;5;10,841;01/05/17
134;5;10,216;01/05/17
135;5;11,678;01/05/17
136;5;11,981;01/05/17
137;5;7,639;01/05/17
138;5;3,407;01/05/17
139;5;9,573;01/05/17
140;5;6,058;01/05/17
141;5;8,938;01/05/17
142;5;6,102;01/05/17
143;5;5,064;01/05/17
144;5;5,099;01/05/17
145;5;11,772;01/05/17
146;5;7,823;01/05/17
147;5;7,588;01/05/17
148;5;4,945;01/05/17
149;5;10,721;01/05/17
150;5;4,577;01/05/17
151;5;6,956;01/05/17
152;5;6,08;01/05/17
153;5;6,098;01/05/17
154;5;7,98;01/05/17
155;5;3,613;01/05/17
156;5;4,407;01/05/17
157;5;5,854;01/05/17
158;5;3,236;01/05/17
159;5;10,665;01/05/17
160;5;3,58;01/05/17
161;5;11,68;01/05/17
162;5;8,99;02/05/17
163;5;9,544;02/05/17
164;5;5,943;02/05/17
165;5;3,472;02/05/17
166;5;8,805;02/05/17
167;5;7,107;02/05/17
168;5;3,623;02/05/17
169;5;10,227;02/05/17
170;5;5,483;02/05/17
171;5;6,262;02/05/17
172;5;10,549;02/05/17
173;5;11,458;02/05/17
174;5;7,453;02/05/17
175;5;11,458;02/05/17
176;5;3,317;02/05/17
177;5;10,467;02/05/17
178;5;10,489;02/05/17
179;5;10,385;02/05/17
180;5;3,012;02/05/17
181;5;7,413;02/05/17
182;5;8,128;02/05/17
183;5;7,388;02/05/17
184;5;9,313;02/05/17
185;5;8,583;02/05/17
186;5;8,656;02/05/17
187;5;9,463;02/05/17
188;5;4,033;02/05/17
189;5;9,526;02/05/17
190;5;4,219;02/05/17
191;5;11,485;02/05/17
192;5;4,863;02/05/17
193;5;6,642;02/05/17
194;5;5,489;02/05/17
