hydrometer_id;cat_period_id;value;value_date
2;5;9,706;01/05/15
3;5;11,168;01/05/15
4;5;11,679;01/05/15
5;5;8,849;01/05/15
6;5;7,529;01/05/15
7;5;7,091;01/05/15
8;5;5,746;01/05/15
9;5;11,379;01/05/15
10;5;10,664;01/05/15
11;5;9,438;01/05/15
12;5;10,189;01/05/15
13;5;5,774;01/05/15
14;5;11,98;01/05/15
15;5;10,686;01/05/15
16;5;6,991;01/05/15
17;5;10,695;01/05/15
18;5;3,232;01/05/15
19;5;8,395;01/05/15
20;5;4,951;01/05/15
21;5;7,341;01/05/15
22;5;9,697;01/05/15
23;5;7,799;01/05/15
24;5;5,989;01/05/15
25;5;4,086;01/05/15
26;5;10,637;01/05/15
27;5;7,49;01/05/15
28;5;3,593;01/05/15
29;5;4,849;01/05/15
30;5;8,483;01/05/15
31;5;4,779;01/05/15
32;5;5,099;01/05/15
33;5;4,151;01/05/15
34;5;5,133;01/05/15
35;5;11,287;01/05/15
36;5;4,389;01/05/15
37;5;7,062;01/05/15
38;5;10,9;01/05/15
39;5;10,897;01/05/15
40;5;10,232;01/05/15
41;5;9,103;01/05/15
42;5;9,955;01/05/15
43;5;9,56;01/05/15
44;5;5,453;01/05/15
45;5;6,008;01/05/15
46;5;11,496;01/05/15
47;5;11,533;01/05/15
48;5;4,311;01/05/15
49;5;11,139;01/05/15
50;5;5,496;01/05/15
51;5;7,529;01/05/15
52;5;10,513;01/05/15
53;5;11,864;01/05/15
54;5;8,598;01/05/15
55;5;4,265;01/05/15
56;5;4,44;01/05/15
57;5;9,303;01/05/15
58;5;3,538;01/05/15
59;5;5,222;01/05/15
60;5;10,993;01/05/15
61;5;4,02;01/05/15
62;5;4,147;01/05/15
63;5;11,603;01/05/15
64;5;6,113;01/05/15
65;5;7,702;01/05/15
66;5;8,763;01/05/15
67;5;9,317;01/05/15
68;5;11,472;01/05/15
69;5;9,936;01/05/15
70;5;9,742;01/05/15
71;5;6,179;01/05/15
72;5;4,638;01/05/15
73;5;8,385;01/05/15
74;5;11,153;01/05/15
75;5;6,303;01/05/15
76;5;3,575;01/05/15
77;5;4,706;01/05/15
78;5;9,532;01/05/15
79;5;4,788;01/05/15
80;5;9,538;01/05/15
81;5;7,483;01/05/15
82;5;7,651;01/05/15
83;5;4,663;01/05/15
84;5;3,327;01/05/15
85;5;4,736;01/05/15
86;5;6,874;01/05/15
87;5;6,053;01/05/15
88;5;9,97;01/05/15
89;5;7,586;01/05/15
90;5;3,919;01/05/15
91;5;5,21;01/05/15
92;5;5,616;01/05/15
93;5;8,269;01/05/15
94;5;6,108;01/05/15
95;5;9,612;01/05/15
96;5;6,444;01/05/15
97;5;4,273;01/05/15
98;5;10,059;01/05/15
99;5;4,313;01/05/15
