gully_id outlet_type node_id xcoord ycoord zcoord width length depth method weir_cd orifice_cd a_param b_param efficiency
30111 To_network 37 419119.620 4576626.775 41.640 0.345 0.776 0.800 W_O 1.600 0.700 0.000 0.000 90
30010 To_network 34 418855.852 4576705.077 54.570 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30011 To_network 34 418854.988 4576682.225 54.670 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30012 To_network 34 418854.172 4576666.237 54.830 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30013 To_network 46 418840.249 4576620.388 55.900 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30015 To_network 46 418853.740 4576619.236 55.610 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30016 To_network 32 418844.810 4576805.993 59.120 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30073 To_network 64 419083.586 4576654.019 43.730 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30074 To_network 64 419080.417 4576640.672 43.540 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30075 To_network 37 419114.888 4576633.567 41.960 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30109 To_network 62 419024.129 4576707.383 47.900 0.475 0.975 0.800 W_O 1.600 0.700 0.000 0.000 90
30069 To_network 20607 418989.391 4576659.108 48.400 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30112 To_network 83 419108.194 4576571.276 44.300 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30076 To_network 37 419126.410 4576627.518 41.220 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30017 To_network 112 418940.733 4576959.672 58.060 0.295 0.565 0.800 W_O 1.600 0.700 0.000 0.000 90
30019 To_network 112 418964.258 4576923.569 57.020 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30020 To_network 113 418978.373 4576899.708 56.190 0.345 0.776 0.800 W_O 1.600 0.700 0.000 0.000 90
30021 To_network 113 418984.518 4576909.550 56.160 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30022 To_network 113 418983.942 4576890.106 55.620 0.475 0.975 0.800 W_O 1.600 0.700 0.000 0.000 90
30023 To_network 113 418989.943 4576886.938 55.620 0.345 0.776 0.800 W_O 1.600 0.700 0.000 0.000 90
30024 To_network 114 419000.889 4576884.441 54.860 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30025 To_network 114 419008.235 4576893.755 54.730 0.345 0.776 0.800 W_O 1.600 0.700 0.000 0.000 90
30026 To_network 114 419025.902 4576881.705 53.290 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30027 To_network 115 419046.210 4576868.070 52.560 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30028 To_network 116 419074.920 4576848.674 50.680 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30029 To_network 116 419094.220 4576835.231 49.420 0.475 0.975 0.800 W_O 1.600 0.700 0.000 0.000 90
30030 To_network 117 419094.124 4576821.597 49.010 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30031 To_network 117 419117.168 4576819.964 47.460 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30032 To_network 118 419139.253 4576805.177 45.990 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30033 To_network 118 419133.204 4576795.383 46.260 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30034 To_network 119 419179.197 4576765.617 43.010 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30035 To_network 120 419223.846 4576734.123 39.760 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30036 To_network 120 419230.567 4576743.629 39.510 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30037 To_network 43 419332.348 4576651.066 31.900 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30038 To_network 44 419366.050 4576636.279 29.700 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30039 To_network 44 419374.308 4576613.523 29.340 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30040 To_network 124 419427.407 4576582.317 26.820 0.475 0.975 0.800 W_O 1.600 0.700 0.000 0.000 90
30041 To_network 124 419419.149 4576573.003 27.350 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30042 To_network 125 419467.687 4576539.156 24.380 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30043 To_network 123 419505.134 4576528.354 22.900 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30044 To_network 123 419498.029 4576519.136 23.250 0.345 0.776 0.800 W_O 1.600 0.700 0.000 0.000 90
30045 To_network 234 419553.912 4576495.995 20.950 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30046 To_network 234 419547.959 4576486.009 21.000 0.295 0.565 0.800 W_O 1.600 0.700 0.000 0.000 90
30047 To_network 20587 419585.070 4576475.303 19.670 0.345 0.776 0.800 W_O 1.600 0.700 0.000 0.000 90
30048 To_network 20587 419579.693 4576465.317 19.860 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30049 To_network 123 419490.011 4576483.945 23.490 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30050 To_network 131 419446.706 4576446.017 25.470 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30051 To_network 127 419325.866 4576339.724 31.000 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30052 To_network 126 419299.029 4576316.151 32.180 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30053 To_network 95 419222.261 4576222.148 35.080 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30054 To_network 100 419269.983 4576263.821 32.870 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30055 To_network 129 419391.735 4576374.003 28.080 0.475 0.975 0.800 W_O 1.600 0.700 0.000 0.000 90
30056 To_network 94 419147.751 4576226.421 37.090 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30057 To_network 92 419134.092 4576266.629 38.490 0.475 0.975 0.800 W_O 1.600 0.700 0.000 0.000 90
30058 To_network 92 419122.858 4576259.140 38.450 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30059 To_network 91 419089.635 4576325.201 40.870 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30060 To_network 90 419070.431 4576327.794 41.290 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30061 To_network 78 418992.223 4576405.185 47.380 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
30062 To_network 77 418966.778 4576406.145 48.220 0.345 0.776 0.800 W_O 1.600 0.700 0.000 0.000 90
30066 To_network 52 418926.306 4576686.185 51.420 0.345 0.776 0.800 W_O 1.600 0.700 0.000 0.000 90
30067 To_network 35 418971.435 4576662.949 49.710 0.300 0.640 0.800 W_O 1.600 0.700 0.000 0.000 90
