IM_ID;CONNECTION;IM_PR_ID;COOR_X;COOR_Y;COOR_Z;IM_DIM1;IM_DIM2;IM_DIM3;METHOD;WEIR_CD;ORIFICE_CD;A;B;EFFICIENCY
1;Sink;-9999;405087.5223;4622051.144;263;0.3;0.55;-9999;UPC;1.6;0.7;0.4;0.8;100
2;To network;14914;405095.4664;4622020.414;265;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
3;To network;14914;405100.0172;4622022.848;265;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
4;To network;14913;405108.8543;4621990;265;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
5;To network;14913;405113.4845;4621992.448;265;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
6;To network;14919;405121.0556;4621962.723;265;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
7;To network;14920;405131.0172;4621940.362;263;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
8;To network;14920;405133.0809;4621935.441;263;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
9;To network;14920;405135.241;4621943.385;263;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
10;To network;14920;405138.796;4621941.315;263;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
11;To network;14921;405143.0293;4621933.907;263;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
12;To network;14921;405143.0293;4621909.114;263;0.3;0.55;-9999;W/O;1.6;0.7;0.4;0.8;100
